id,subject,mohs,source,problem,answer
1,Algebra,0M,USAMO 2012 P1 (AIMO3),"Let $n = 5$. Among any $n$ positive real numbers with $\max \\le n \\cdot \\min$, what is the maximum number of triples that are guaranteed to form acute triangles?",10
2,Algebra,5M,IMO 2000 P2 (AIMO3),"For positive reals with $abc = 1$, if $\left(a - 1 + \\frac{1}{b}\right)\left(b - 1 + \\frac{1}{c}\right)\left(c - 1 + \\frac{1}{a}\right) \\le 1$, what is the maximum possible integer value of this expression multiplied by 100?",100
3,Algebra,5M,IMO 2001 P4 (AIMO3),"For $n = 5$, $c_i = i$, how many pairs of permutations $(a, b)$ of $\{1,2,3,4,5\}$ satisfy $5! \\mid S(a) - S(b)$?",120
4,Algebra,5M,IMO 2007 P1 (AIMO3),"For $n = 4$ and sequence $(3, 1, 4, 1)$, compute $d = \\max_i d_i$ where $d_i = \\max_{j \\le i} a_j - \\min_{j \\ge i} a_j$.",3
5,Algebra,5M,IMO 2014 P1 (AIMO3),"For sequence $a_n = n^2$, find the unique $n$ such that $a_n < \\frac{a_0 + \\cdots + a_n}{n} \\le a_{n+1}$.",3
6,Algebra,10M,IMO 2004 P4 (AIMO3),"For $n = 5$, find the number of distinct triples $(t_1, t_2, t_3)$ with $t_1^2 + t_2^2 + t_3^2 < 25$ that form sides of a triangle.",42
7,Algebra,10M,IMO 2010 P1 (AIMO3),"How many functions $f: \\{0,1,2,3,4\\} \\to \\{0,1,2,3,4\\}$ satisfy $f(\\lfloor x \\cdot y \\rfloor) = f(x) \\cdot \\lfloor f(y) \\rfloor$ for all $x,y \\in \\{0,1,2,3,4\\}$?",25
8,Algebra,15M,IMO 2001 P2 (AIMO3),"For $a=1, b=1, c=1$, compute $\\left\\lfloor 100 \\cdot \\left(\\frac{a}{\\sqrt{a^2+8bc}} + \\frac{b}{\\sqrt{b^2+8ca}} + \\frac{c}{\\sqrt{c^2+8ab}}\\right) \\right\\rfloor$.",100
9,Algebra,15M,IMO 2008 P2 (AIMO3),"For $x=y=z=2$, compute $\\left\\lfloor 100 \\cdot \\left(\\frac{x^2}{(x-1)^2} + \\frac{y^2}{(y-1)^2} + \\frac{z^2}{(z-1)^2}\\right) \\right\\rfloor$ given $xyz=1$.",400
10,Algebra,20M,USAMO 2018 P2 (AIMO3),"For $x=y=z=1$, compute $f(x+\\frac{1}{y}) + f(y+\\frac{1}{z}) + f(z+\\frac{1}{x})$ for function satisfying the given condition.",1
